ID_Prestamo,ID_Persona,Objeto,Costo_Reposicion,Estado
PRE001,PER045,Laptop,$1200.00,Pendiente
PRE002,PER012,Proyector,$850.00,Devuelto
PRE003,PER089,Camara,$500.00,Retrasado
PRE004,PER023,Tableta,$300.00,Pendiente
PRE005,PER005,Microfono,$150.00,Devuelto
PRE006,PER067,Laptop,$1200.00,Retrasado
PRE007,PER034,Proyector,$850.00,Pendiente
PRE008,PER012,Camara,$500.00,Devuelto
PRE009,PER090,Tableta,$300.00,Retrasado
PRE010,PER001,Microfono,$150.00,Pendiente
,,,,
PRE012,PER055,Laptop,$1200.00,Devuelto
PRE013,PER021,Proyector,$850.00,Retrasado
PRE014,PER078,Camara,$500.00,Pendiente
PRE015,PER099,Tableta,$300.00,Devuelto
PRE016,PER011,Microfono,$150.00,Retrasado
PRE017,PER003,Laptop,$1200.00,Pendiente
PRE018,PER044,Proyector,$850.00,Devuelto
PRE019,PER082,Camara,$500.00,Retrasado
PRE020,PER015,Tableta,$300.00,Pendiente
PRE021,PER066,Microfono,$150.00,Devuelto
PRE022,PER029,Laptop,$1200.00,Retrasado
PRE023,PER071,Proyector,$850.00,Pendiente
PRE024,PER008,Camara,$500.00,Devuelto
PRE025,PER050,Tableta,$300.00,Retrasado
PRE026,PER091,Microfono,$150.00,Pendiente
PRE027,PER019,Laptop,$1200.00,Devuelto
PRE028,PER040,Proyector,$850.00,Retrasado
PRE029,PER088,Camara,$500.00,Pendiente
PRE030,PER010,Tableta,$300.00,Devuelto
PRE031,PER061,Microfono,$150.00,Retrasado
PRE032,PER022,Laptop,$1200.00,Pendiente
PRE033,PER073,Proyector,$850.00,Devuelto
PRE034,PER004,Camara,$500.00,Retrasado
PRE035,PER059,Tableta,$300.00,Pendiente
PRE036,PER092,Microfono,$150.00,Devuelto
PRE037,PER018,Laptop,$1200.00,Retrasado
PRE038,PER041,Proyector,$850.00,Pendiente
PRE039,PER087,Camara,$500.00,Devuelto
PRE040,PER013,Tableta,$300.00,Retrasado
PRE041,PER060,Microfono,$150.00,Pendiente
PRE042,PER028,Laptop,$1200.00,Devuelto
PRE043,PER070,Proyector,$850.00,Retrasado
PRE044,PER007,Camara,$500.00,Pendiente
PRE045,PER058,Tableta,$300.00,Devuelto
PRE046,PER093,Microfono,$150.00,Retrasado
PRE047,PER017,Laptop,$1200.00,Pendiente
PRE048,PER042,Proyector,$850.00,Devuelto
PRE049,PER086,Camara,$500.00,Retrasado
PRE050,PER014,Tableta,$300.00,Pendiente
PRE051,PER062,Microfono,$150.00,Devuelto
PRE052,PER027,Laptop,$1200.00,Retrasado
PRE053,PER074,Proyector,$850.00,Pendiente
PRE054,PER006,Camara,$500.00,Devuelto
PRE055,PER057,Tableta,$300.00,Retrasado
PRE056,PER094,Microfono,$150.00,Pendiente
PRE057,PER016,Laptop,$1200.00,Devuelto
PRE058,PER043,Proyector,$850.00,Retrasado
PRE059,PER085,Camara,$500.00,Pendiente
PRE060,PER012,Tableta,$300.00,Devuelto
PRE061,PER063,Microfono,$150.00,Retrasado
PRE062,PER026,Laptop,$1200.00,Pendiente
PRE063,PER075,Proyector,$850.00,Devuelto
PRE064,PER005,Camara,$500.00,Retrasado
PRE065,PER056,Tableta,$300.00,Pendiente
PRE066,PER095,Microfono,$150.00,Devuelto
PRE067,PER020,Laptop,$1200.00,Retrasado
PRE068,PER044,Proyector,$850.00,Pendiente
PRE069,PER084,Camara,$500.00,Devuelto
PRE070,PER011,Tableta,$300.00,Retrasado
PRE071,PER064,Microfono,$150.00,Pendiente
PRE072,PER025,Laptop,$1200.00,Devuelto
PRE073,PER076,Proyector,$850.00,Retrasado
PRE074,PER004,Camara,$500.00,Pendiente
PRE075,PER055,Tableta,$300.00,Devuelto
PRE076,PER096,Microfono,$150.00,Retrasado
PRE077,PER021,Laptop,$1200.00,Pendiente
PRE078,PER045,Proyector,$850.00,Devuelto
PRE079,PER083,Camara,$500.00,Retrasado
PRE080,PER010,Tableta,$300.00,Pendiente
PRE081,PER065,Microfono,$150.00,Devuelto
PRE082,PER024,Laptop,$1200.00,Retrasado
PRE083,PER077,Proyector,$850.00,Pendiente
PRE084,PER003,Camara,$500.00,Devuelto
PRE085,PER054,Tableta,$300.00,Retrasado
PRE086,PER097,Microfono,$150.00,Pendiente
PRE087,PER022,Laptop,$1200.00,Devuelto
PRE088,PER046,Proyector,$850.00,Retrasado
PRE089,PER082,Camara,$500.00,Pendiente
PRE090,PER009,Tableta,$300.00,Devuelto
PRE091,PER066,Microfono,$150.00,Retrasado
PRE092,PER023,Laptop,$1200.00,Pendiente
PRE093,PER078,Proyector,$850.00,Devuelto
PRE094,PER002,Camara,$500.00,Retrasado
PRE095,PER053,Tableta,$300.00,Pendiente
PRE096,PER098,Microfono,$150.00,Devuelto
PRE097,PER021,Laptop,$1200.00,Retrasado
PRE098,PER047,Proyector,$850.00,Pendiente
PRE099,PER081,Camara,$500.00,Devuelto
PRE100,PER008,Tableta,$300.00,Retrasado
